sentence	is_counterfactual
These collar stays are heavy duty without being too thick.	0
I don't love the look of chinstraps, but I can't actually walk down Chicago streets without this flying off my head.	0
I just couldn't put it down.. till my kindle died and I had to..	0
I read a lot of complaints about the Songbird software that comes with it.	0
Ordered with expedited shipping since I needed I for a costume but unfortunately couldn't use it.	0
My 9 year old had been saving up for an mp3 and wanted an ipod touch but didn't like the very small size of the nano and the price of the others was too high.	0
I'm not sure if this comes with the adhesive it needs to make it easy to stick on a jacket.	0
(I HAVEN'T WASHED IT YET SO COMPLAINT COULD CHANGE!!)	0
A very simple plot without a lot of intrigue.	0
I wanted it to be roomy for her to grow.	0
They probably should have been packaged a little better, but I loved the product!	1
I miss the on board attachments but will get use to bringing out the canister for stairs and hard to reach spots.	0
Haven't found anything to compare (favorably) with it.	0
one thing i must state is that the location of the mic makes it a bit difficult for others to hear me.	0
I love these scrubs because I am a full figured woman and it is difficult to get scrubs that fit without being too baggy.	0
I like this one it looks really good on me I wish I chose a medium instead of small but I liked it	1
I was looking for a set of headphones that I could wear on the treadmill without constantly having to readjust, that sounded great and didn't break the bank.	0
Fortunately, I was home alone when apparently I didn't have a proper tie in the drawstring and while being active the string came undone and my pants fell to my ankles, my first thought was that I was glad I was at home alone and not in public or this would be an embarrassing moment.	0
the palm pad/grip really helps with leather steering wheels which would be slippery as heck without it.	0
Recommend this to anyone who loves beautiful full depth color.I'm a miss size and it fits perfect.I wear this over a sleeveless or short sleeve shirts to cover my upper arms and ample butt.OWL	0
With the Mrs. designation ( rather than bride), my niece can use it for a longer time without feeling too precious.	0
Lucky's 29 is a Size 8,  a designer brand  Size 29 is a Size 4...should have ordered a Size 27 from Lucky, now I'm stuck with HUGE SHORTS.	1
I haven't used it yet and will not ever know if it stopped someone from scanning my data but the product is as described and seem to be high quality.	0
Lucky is the man who learns to navigate times of peril without exacerbating his problems further.	0
He sends her an email that basically doesn't tell her anything not even that he isn't seeing anyone else.	0
I wish more therapist would be open to learning about these kinds of organizations and thus they would be able to better assist clients who deal with these sorts of issues.	1
I'd like the size could be more clear for other countries.	0
great stuff i found by accident and now i won't be without it	0
We also prewashed it before use and I was initially concerned if this is when it would fall apart: alas, it looke dlike it had just come out of the packaging (except with the nice fragrance of our softener!).	0
The band around the chest is more comfortable and I haven't had any issues with it tearing... yet.	0
I've always had weight insecurities so I haven't really owned a proper bikini in years and I'm so happy I finally got one and one that is super cute!	0
We have a high end system at home,it cost about 10 times as much and doesn't sound 10 times better than these speakers.	0
For once you ask and keep positive about it and release it to the vortex of your life, the return will be exactly what you wanted if not more.	0
My #1 complaint has been that straps won't stay on my shoulders and this bra solved that problem.	0
Booties fit well, stayed on well, they just weren't as thick as I would have liked.	1
She lives in Oahu and it couldn't be more perfect, fits great the beaded holder is so cool and the cut and design allows for her pregnant belly to grow comfortably!!	0
Bought it to re-read and haven't started it yet.	0
Just a little larger than expected, should have ordered next size smaller.	1
And (as far as I know) always writes happy endings, which is a must for me.	0
I could not face the cold mornings without it in my bathroom.	0
Wanted to get my friend a dress for her Christmas dinner (which is after Christmas) so had no problem for the wait.	0
Also, the bottom of the costume doesn't have a place for legs (it's elastic at the bottom as well), it's made like a layette.	0
I use a lot of dies and embossing folders and wouldn't be without my Cuttlebug.	0
I don't think she emerged as a strong female character except one brief scene in the restaurant when she faced down the hypocritical church ladies.	0
She had no where in particular to wear it but I just wanted to send her something special.	0
It doesn't have much suction power so it only picks up loose debris.	0
"""In her own words: \Without the anchor of scripture, we're left to drift in our feelings and natural reason."""""""	0
Around $20 would have been a LOT more reasonable.	1
I'm kinda fussy so it might have taken less time but I wanted everything level and square.	0
Let's just hope this time the dog doesn't chew them up or the boy doesn't borrow them never to be seen again!	0
I couldn't put this book down and read it every chance I had.	0
I would recommend it to all romantic's, however I would have liked to see an epilogue to give it a five star rating.	1
You'd think for $52 plus $7.49 shipping for a total of $59.49, you'd get your Cobalt Blue, thus resulting in a four star rating instead of a five star rating.	0
It's a cute and well made cap if that's the look you're going for, but if you're into the kind of hipster look, then this one won't work.	0
I should have gotten a DOUBLE D but love the c way it feels	1
It is a cute dress, but as I said not of good quality to be worn to an important event, but as a costume it would be great.	0
Oh, and one other thing, I am not gentle with it as I should be but it holds up wonderfull under advers conditions.	0
Knocked off one star due to fabric- while it's absolutely gorgeous, it feels very, very fragile and like it would be verrrrry easy to tear.	0
This is a dream-maker of an airbrush, handles well and very controllable my came with all 3 tips precision to wild!	0
Doesn't feel like the quality levi's I am used to.	0
I own a VPI Record Cleaning Machine, and after trying every record cleaner I could find, and spending way more money then i should have, I now mix my own with just dawn and bottled water, make sure you re clean the record with clear bottled water afterwards to make sure no soap residue is left.	0
I can listen to them for hours without any discomfort.	0
Even though she doesn't smoke in the house, her room reeked because it was on her clothes.	0
Bought to display gift, works ok, could be a little bit heavier	0
The actual product was just as we expected and was just what we wanted and needed.	0
All excited.... and then the piece of junk RCA cable that came with the converter box kit snapped off inside my TV's rear RCA jack.	0
Couldn't get through this book, hated it.	0
I would have loved for this story to be a little bit longer so I could get more invested the characters but either way I really enjoyed this book.	1
For the price, I haven't had a better set of ear buds to date.	0
These strips are wall mountable, have cable management hooks and the remote switch can be taped or screwed to the wall and should be placed next to a light switch to make sure it gets used.	0
Would be fine for a younger child perhaps for just playing.	0
It's a light fabric so the head doesn't get too hot and if you don't want the flap in back you can fold it under before putting the hat on.	0
Overall, an excellent read that doesn't telegraph the ending from the start.	0
Perhaps the author was attempting some deep psychological message with the ending, but if that's the case, he missed the mark by a wide margin.	0
I wanted the pants to match but they ran 2 sizes small in my opinion, so I kept the top & use it for PJ top more than t shirt.	0
bought these for our trips to Thailand and India and wanted something light an comfory that I could wear to temples and while out in the heat...great pants...kinda long.	0
I would say its definitely a must buy again since it is cheaper, and a better quality notebook compared to a Moleskine watercolor notebook (and even those are very good).	0
I wanted one, but learned they are no longer made; so when I found this on Amazon - I had to have it!	0
But i could see that it would be cute if it were the correct size.	1
I think I want to read a few more Oz books before I read Dorothy Must Die though so that I can pick up on all of the subtle references and know who the characters and places are from the original books.	0
Again....hated all the recap but loved the story none the less.	0
The color I chose could have been a bit darker for me.	1
Nice and sharp, haven't had trouble with bending yet.	0
Won't look quite as matronly if I can expose my calves just a tad!	0
So far I am loving this receiver(I've had this unit for a total of 2 days), and haven't had any major problems with it.	0
The only reason to get a newer version than this is if you wanted to schedule it to clean at a regular time.	0
The note I received in the package from Michael Shaffer saying it was hand printed by him and wishing me luck on my spiritual path was a great touch!	0
really like it; loose enough that I can wear it over a shirt but doesn't feel baggy.	0
I wish the ending had a little more detail but I loved all three of the books.	1
exciting, very well written, great characters, fast action, a must read.	0
My one and only complaint would be.........I want more.	0
How can I review on a product that I haven't gotten.	0
i received the patch in the mail today, not the patch at all that i wanted, got the patch with the umbrella logo with swords in the logo and it was square.	0
The picture here doesn't even do it justice.	0
That earlier model must be better than perfect because this little guy comes super close to perfection itself!	0
I'm tired of spending hours with this, if it doesn't work soon, back it goes.	0
It's also made of entirely plastic and may seem a little flimsy but it seems to stick in our window fine using the gooey disc that came with it.	0
I haven't filled it to the brim and went on a hike or anything but for the use in my creative laboratory it suits us fine.	0
Got the 12000 and it isn't running near much as the little ones did, should be better on the A/C and cost of electricity.	0
I have been a listener of music for a number of years and I never thought that I would be the owner of true hi fidelity speakers.	0
I would suggest this item to anyone who wanted to make bath bombs or salts!	0
I really like the convenience of just grabbing a sheet for my 5 X 7 hoop instead of having to cut from a roll.	0
I wish there was another book to continue telling the story.	0
All sizes were good except the carry on and suitcase size couldn't figure out how to use those as there is no place for vacuum Good price	0
Without ever saying so, you feel that religion itself... specifically Christian styled religion, is a bad thing, and Seraphina hates it, and of course you  see in the end that people are worshipping something foolish.	0
I would have thought this apron would have held up better with just one wash.	1
Pros: - Lots of space - Small - Doesn't tie up your PC harddisk when doing other disk-intensive activities	0
The only complaint I have is that I wish it were a little more fitted in the waist region, because the jacket is very loose fitting as it goes down, in something like an A-line shape.	1
Zvox does not use Dolby because it is a licensed proprietary signal and they would have to pay Dolby Labs a royalty fee I think.	0
Would give it 5-stars if it was just a little thicker, but still happy with the purchase.	1
Only wish it had more audio inputs or even an HDMI input.	1
Excellent story but it should have been incorporated into the other books.	1
Perhaps some kind of remote switch could be added to a future model, but of course that would add yet another remote to the group I already have...so perhaps not.	0
The ties were kind of awkward, but you can tie them so one doesn't stick up.	0
They did and I should have looked at Amazon for them from the start.	1
I think this is a superior product but none have completely eliminated it when my most difficult animals have been struggling with control.	0
I don't read much at all, but got talked into it and couldn't put the thing down.	0
I had 2 JLab Jbud ear buds (without the mic) and loved both.	0
"""It comes with all of the necessary mounting hardware for various TV mount styles, but if you have wall stud spacing of more than 16\\\\\ center-to-center, or if your studs are not conveniently located - get some solid advice from either a professional contractor or at least a trusted hardware store employee."""""""	0
Another family member opened it and threw out the box or I would be trying to get a refund!!!!!	0
The cables that came with these were sturdier, but too stiff.	0
I took off one star because I feel like a couple of chapters could have gone into a bit more detail, or could have provided more additional resources, or references to the studies/journal articles where the discoveries discussed are published.	1
I order it because you couldn't beat the price and the sound blows me away.	0
I do wish the button could be replaced by a hook, like these pants used to have.	1
Even the inside of the thing where you exhale into doesn't really smell.	0
The heroine doubted his sincerity and I would have as well.	0
Easy to empty dust cup, without leaving a mess.	0
These are easy to use and clean and once you get use to the shape you won't use anything else.	0
The only thing that could be improved on is that they don't block outside noise very well.	0
In my opinion it doesn't work very well with the dress.	0
It was exactly what I wanted, zipper is sturdy, and the material wasn't flimsy.	0
If you have a similar build compared to mine, buy this shirt without hesitation.	0
Might have been a good story line, very poorly executed!!	1
This is an adequate storage option, but as I was assembling some of the white paint did chip off because the plastic connectors fit really tight and they were a little awkward to fit together without chipping the paint.	0
I've had better sounding headphones and worse sounding ones too but none were as uncomfortable as these.	0
We will end up buying an accessory kit to supplement the missing convenience items that should be included..	0
All the undies I saw looked really big and high waisted, and she's very petite, so I chose these instead of ones with cute characters on them.	0
The programming app had minor issues for me on Win 8.1 but the OSX version worked without a hitch on my iMac.	0
This is the first iron I've bought WITHOUT a teflon-coated sole plate.	0
While they have shared a very intimate part of themselves when they engage in these acts, they shut the rest of themselves off to each other because love doesn't even factor into the equation.	0
It won't vibrate your ears, but you'll hear EVERY base not.	0
I have been using these for the past year without problems.	0
I take public transportation to and from work and this little fan couldn't be more a life saver when it gets hot in the metro car because it's packed full of people, while I'm waiting for the bus or even waiting in the lunch line.	0
I had some remote outlets in my in house cable system that would have had to imporve to be unsatisfactory, thsy are now very nice.	1
Wish the elastic was a little more forgiving... but other than that I love them!	1
Not as thick as I wanted but it's ok	0
If directions were provided, 5 out of 5 would be the obvious review.	1
The waist band has some kind of elastic in it, not stiff enough to wear without a belt...the pockets are sewn on, not in... the flaps are not helpful... probably will never order any more of this style.	0
I've washed it and worn it again (without drying) and it still fits well.	0
I'm in the process of learning quilling (with porcupine quills) and wanted a natural fastener for my leather bracelet.	0
But it comes with a nice attached velcro binding that you can always use to bundle that part up.	0
Must read for believers looking for more of God and his glory.	0
pockets are weirder than i thought theyd be but overall fits like i wanted and does the job.	0
None of the stitching is even finished so EVERYTHING is literally unraveling and falling apart.	0
These are now on my must-buy list for new parents.	0
Not true to size - cannot return anymore and wish I could.	1
The cover was easy to place on the chair; being in multiple pieces means that fitting to a chair design is easier than it would be for a one-piece.	0
You won't be disappointed with these and so much cheaper than purchasing in a store.	0
There are patterns in it which in the beginning are great because I couldn't find any and had no idea where to start.	0
It should be about $20 cheaper to make it worth while.	0
I bought this as a gift for someone and haven't heard anything bad about it so I take it that is was well worth the try.	0
And it was really cheap looking the black strings were already coming out and it doesn't even look like cat ears they look like devil horns and when you put it on.	0
There are only so many events of brutal fighting and prowess of archers against roman legions that one can stand without switching off.	0
Doesn't stick for long periods of time ...not even to clean tile  The holder otherwise is a nice shiny design	0
After I read the first chapter I couldn't put it down!	0
Can you accept typos and grammatical errors without automatically hating a novel?	0
I just wish I'd have known more about sizing because my daughter can't even get her arms into this one.	1
Ride was a great book loved the story loved the characters I just wish it was longer at the end I was hoping it wasn't over I wanted more none the less I'm looking forward to book 2	0
Even though I haven't used a sewing machine in many decades, it was relatively simple to set-up and begin sewing.	0
While I was never in the services myself, I support them and wish for their safe return when stationed over seas.	0
I just wish the seller would correct the product description.	1
Putting them in the charging cradle couldn't be easier.	0
"""I enjoyed it while it lasted, but probably in retrospect would have prefered the 10\\\\\ at half the price."""""""	1
The snap was out of line and therefore impossible to close without looking at it and manually lining it up (a pain).	0
Well let me say, that both statements  could be true.	0
"""If it had just little more \hindge\"""" length, I think this would be minimized."""""""	0
No programming was needed, and it was still cheaper than a replacement of the one that came with it.	0
I guess it must be because my short stature may be due to short legs, and not a short torso which really works in favor of one piece suits.	0
I like the item, but I didnt get it as part of the free shipping, so paying shipping hurt a little, but I did it anyway (4 starts instead of 5)	0
The only issue that I have is that it doesn't compare to the picture display on the web site or the picture on the package.	0
I had not been able to find them at the local stores.	0
However, I couldn't find the codes for combination dvd vcrs.	0
I hang it to dry so it doesn't shrink or the decals don't crack and fall off.	0
The 9910 I have to make a major adjustment and with the weight of the 9910 (it's heavy in comparison) it's a trick to do with one hand without dropping the remote.	0
It would be nice to know if the wisdom I am getting is truly from God and not just man's interpretation.	0
Seen some reviews commenting on grammatical errors, yest there are some but doesn't detract from story.	0
It would have worked ok but is was way to small.	1
The writing is geared towards teenagers so adults won't get too much from this book but I will definitely recommend this book to my younger cousins as a good summer read.	0
The fan speed is a bit slower than I though it could be.	0
Ouch, wish I knew a third of this information while Kennedy was president.	0
I wish I had metal window casings, just to use these types of blinds!	0
Since I am bald it could be why it feels a tad large.	0
If you are someone like my wife that still liked to get the cartridges over the digital versions, this unit is a must.	0
It's not tight and form fitting (except over your breasts) which is exactly what I wanted!	0
This only proves that good stories can be written without all the bad words.	0
I wish they would have used the dragon sooner but maybe it wouldn't have worked to their advantage.	1
A hot new, MUST READ romance that's sure to shoot up the charts!	0
I don't know how many times it will recharge but it is showing none of the weakness the original battery displayed.	0
Description of scenes were well done and you knew the characters without physical descriptions being necessary as you knew their inner beings.	0
I wish I could turn off the temperature in the projector.	1
This is the second time I have read it and I still couldn't put it down.	0
"""I was hoping when I got to the end there would be a surprise and it was all worth it... there was a surprise ending but nothing that made me say \wow.\"""""""""""	0
They are a little muddy but its nothing a tweak of the EQ won't take care of.	0
Also it came with a mystery item which was a mini block retro mobile phone from the 80's.	0
They are cushion-y without being bulky, and are warm without being too hot to hike in.	0
To see how Christianity could have been faked for the sake of a dying country, read Propositum.	1
I've been sleeping on it for a while now--don't feel any cooling effect at all, and the pillow feels too low, doesn't give that support for the head and neck that it should give.	0
I can pick up calls during my run and converse without any issues with the audio.	0
If you are interested on how Dana escape from the waste land, then you really must read this novel.	0
